fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,id,color
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7,20258,white
6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6,20259,white
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4,20260,white
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,20261,white
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,20262,white
6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5,20263,white
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6,20264,white
6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6,20265,white
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,20266,white
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6,20267,white
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5,20268,white
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6,20269,white
5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6,20270,white
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6,20271,white
5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5,20272,white
5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5,20273,white
6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5,20274,white
7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5,20275,white
6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6,20276,white
6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6,20277,white
7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5,20278,white
6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4,20279,white
7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7,20280,white
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8,20281,white
6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,8,20282,white
6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4,20283,white
6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5,20284,white
7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5,20285,white
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5,20286,white
6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6,20287,white
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,20288,white
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,20289,white
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,20290,white
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,20291,white
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6,20292,white
7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5,20293,white
6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7,20294,white
9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,3,20295,white
6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,20296,white
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,20297,white
7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,7,20298,white
7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6,20299,white
6.7,0.17,0.5,2.1,0.043,27,122,0.9923,3.15,0.45,10.3,6,20300,white
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,20301,white
8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6,20302,white
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,20303,white
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6,20304,white
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,20305,white
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,20306,white
7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5,20307,white
7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6,20308,white
6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7,20309,white
6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6,20310,white
6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7,20311,white
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8,20312,white
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6,20313,white
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,20314,white
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5,20315,white
6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6,20316,white
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,20317,white
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,20318,white
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7,20319,white
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,20320,white
6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,20321,white
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,20322,white
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,20323,white
6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6,20324,white
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5,20325,white
7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5,20326,white
7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6,20327,white
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6,20328,white
6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,20329,white
7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5,20330,white
6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8,20331,white
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5,20332,white
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6,20333,white
6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,20334,white
5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5,20335,white
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6,20336,white
6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6,20337,white
5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6,20338,white
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5,20339,white
6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7,20340,white
7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7,20341,white
8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6,20342,white
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6,20343,white
5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5,20344,white
5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6,20345,white
7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6,20346,white
5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7,20347,white
6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6,20348,white
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6,20349,white
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5,20350,white
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7,20351,white
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7,20352,white
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,20353,white
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7,20354,white
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6,20355,white
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,20356,white
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,20357,white
6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6,20358,white
10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6,20359,white
6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6,20360,white
6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,6,20361,white
7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5,20362,white
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6,20363,white
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,20364,white
6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7,20365,white
6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7,20366,white
6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6,20367,white
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6,20368,white
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6,20369,white
7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5,20370,white
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6,20371,white
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6,20372,white
6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5,20373,white
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6,20374,white
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,20375,white
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,20376,white
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,20377,white
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,20378,white
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6,20379,white
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,20380,white
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,20381,white
7.2,0.28,0.26,12.5,0.046,48,179,0.9975,3.1,0.52,9,6,20382,white
7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6,20383,white
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6,20384,white
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7,20385,white
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,20386,white
5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7,20387,white
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5,20388,white
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6,20389,white
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,20390,white
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,20391,white
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5,20392,white
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6,20393,white
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,20394,white
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,20395,white
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5,20396,white
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,20397,white
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,20398,white
5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5,20399,white
6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6,20400,white
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,20401,white
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,20402,white
6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5,20403,white
7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5,20404,white
6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6,20405,white
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5,20406,white
5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7,20407,white
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5,20408,white
6.3,0.14,0.39,1.2,0.044,26,116,0.992,3.26,0.53,10.3,6,20409,white
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,20410,white
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6,20411,white
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6,20412,white
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,20413,white
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,20414,white
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6,20415,white
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6,20416,white
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,20417,white
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,20418,white
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,20419,white
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6,20420,white
7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7,20421,white
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,20422,white
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,20423,white
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,20424,white
6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7,20425,white
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,20426,white
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,20427,white
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,20428,white
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5,20429,white
7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5,20430,white
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,20431,white
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5,20432,white
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7,20433,white
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4,20434,white
7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,8,20435,white
6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7,20436,white
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5,20437,white
6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8,20438,white
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7,20439,white
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5,20440,white
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,20441,white
6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,20442,white
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8,20443,white
6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6,20444,white
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6,20445,white
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,20446,white
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5,20447,white
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,20448,white
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,20449,white
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7,20450,white
7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5,20451,white
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5,20452,white
5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7,20453,white
6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,7,20454,white
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7,20455,white
6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,20456,white
6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7,20457,white
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,20458,white
6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6,20459,white
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5,20460,white
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,20461,white
7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5,20462,white
5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5,20463,white
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6,20464,white
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,20465,white
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5,20466,white
7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6,20467,white
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6,20468,white
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,20469,white
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5,20470,white
8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6,20471,white
6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5,20472,white
6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6,20473,white
7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7,20474,white
5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6,20475,white
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5,20476,white
7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7,20477,white
7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6,20478,white
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6,20479,white
6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6,20480,white
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,20481,white
5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6,20482,white
5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5,20483,white
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,20484,white
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5,20485,white
6.2,0.18,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,6,20486,white
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,20487,white
6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6,20488,white
7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6,20489,white
7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6,20490,white
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6,20491,white
7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7,20492,white
7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6,20493,white
6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6,20494,white
6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6,20495,white
5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,6,20496,white
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,20497,white
6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6,20498,white
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5,20499,white
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,20500,white
7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6,20501,white
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6,20502,white
6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,6,20503,white
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5,20504,white
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,20505,white
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,20506,white
7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5,20507,white
6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7,20508,white
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6,20509,white
6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7,20510,white
6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,6,20511,white
7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6,20512,white
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6,20513,white
7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6,20514,white
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7,20515,white
6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,6,20516,white
6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5,20517,white
7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,6,20518,white
5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6,20519,white
7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5,20520,white
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,20521,white
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,20522,white
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,20523,white
5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,6,20524,white
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,20525,white
5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,6,20526,white
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4,20527,white
6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,6,20528,white
5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,20529,white
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,20530,white
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6,20531,white
6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5,20532,white
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,20533,white
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,20534,white
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,20535,white
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,20536,white
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,20537,white
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,20538,white
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5,20539,white
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6,20540,white
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,20541,white
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5,20542,white
5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6,20543,white
6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6,20544,white
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,20545,white
6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6,20546,white
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6,20547,white
7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,6,20548,white
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7,20549,white
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5,20550,white
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,20551,white
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7,20552,white
